"id","name","chain"
318,"carvanha","carvanha sharpedo"
319,"sharpedo","carvanha sharpedo"
320,"wailmer","wailmer wailord"
321,"wailord","wailmer wailord"
322,"numel","numel camerupt"
323,"camerupt","numel camerupt"
324,"torkoal","torkoal"
325,"spoink","spoink grumpig"
326,"grumpig","spoink grumpig"
327,"spinda","spinda"
328,"trapinch","trapinch vibrava flygon"
329,"vibrava","trapinch vibrava flygon"
330,"flygon","trapinch vibrava flygon"
331,"cacnea","cacnea cacturne"
332,"cacturne","cacnea cacturne"
333,"swablu","swablu altaria"
334,"altaria","swablu altaria"
335,"zangoose","zangoose"
336,"seviper","seviper"
337,"lunatone","lunatone"
338,"solrock","solrock"
339,"barboach","barboach whiscash"
340,"whiscash","barboach whiscash"
341,"corphish","corphish crawdaunt"
342,"crawdaunt","corphish crawdaunt"
343,"baltoy","baltoy claydol"
344,"claydol","baltoy claydol"
345,"lileep","lileep cradily"
346,"cradily","lileep cradily"
347,"anorith","anorith armaldo"
348,"armaldo","anorith armaldo"
349,"feebas","feebas milotic"
350,"milotic","feebas milotic"
351,"castform","castform"
352,"kecleon","kecleon"
353,"shuppet","shuppet banette"
354,"banette","shuppet banette"
355,"duskull","duskull dusclops dusknoir"
356,"dusclops","duskull dusclops dusknoir"
357,"tropius","tropius"
358,"chimecho","chingling chimecho"
359,"absol","absol"
360,"wynaut","wynaut wobbuffet"
361,"snorunt","snorunt glalie froslass"
362,"glalie","snorunt glalie froslass"
363,"spheal","spheal sealeo walrein"
364,"sealeo","spheal sealeo walrein"
365,"walrein","spheal sealeo walrein"
366,"clamperl","clamperl huntail gorebyss"
367,"huntail","clamperl huntail gorebyss"
368,"gorebyss","clamperl huntail gorebyss"
369,"relicanth","relicanth"
370,"luvdisc","luvdisc"
371,"bagon","bagon shelgon salamence"
372,"shelgon","bagon shelgon salamence"
373,"salamence","bagon shelgon salamence"
374,"beldum","beldum metang metagross"
375,"metang","beldum metang metagross"
376,"metagross","beldum metang metagross"
377,"regirock","regirock"
378,"regice","regice"
379,"registeel","registeel"
380,"latias","latias"
381,"latios","latios"
382,"kyogre","kyogre"
383,"groudon","groudon"
384,"rayquaza","rayquaza"
385,"jirachi","jirachi"
386,"deoxys-normal","deoxys"
387,"turtwig","turtwig grotle torterra"
388,"grotle","turtwig grotle torterra"
389,"torterra","turtwig grotle torterra"
390,"chimchar","chimchar monferno infernape"
391,"monferno","chimchar monferno infernape"
392,"infernape","chimchar monferno infernape"
393,"piplup","piplup prinplup empoleon"
394,"prinplup","piplup prinplup empoleon"
395,"empoleon","piplup prinplup empoleon"
396,"starly","starly staravia staraptor"
397,"staravia","starly staravia staraptor"
398,"staraptor","starly staravia staraptor"
399,"bidoof","bidoof bibarel"
400,"bibarel","bidoof bibarel"
401,"kricketot","kricketot kricketune"
402,"kricketune","kricketot kricketune"
403,"shinx","shinx luxio luxray"
404,"luxio","shinx luxio luxray"
405,"luxray","shinx luxio luxray"
406,"budew","budew roselia roserade"
407,"roserade","budew roselia roserade"
408,"cranidos","cranidos rampardos"
409,"rampardos","cranidos rampardos"
410,"shieldon","shieldon bastiodon"
411,"bastiodon","shieldon bastiodon"
412,"burmy","burmy wormadam mothim"
413,"wormadam-plant","burmy wormadam mothim"
414,"mothim","burmy wormadam mothim"
415,"combee","combee vespiquen"
416,"vespiquen","combee vespiquen"
417,"pachirisu","pachirisu"
418,"buizel","buizel floatzel"
419,"floatzel","buizel floatzel"
420,"cherubi","cherubi cherrim"
421,"cherrim","cherubi cherrim"
422,"shellos","shellos gastrodon"
423,"gastrodon","shellos gastrodon"
424,"ambipom","aipom ambipom"
425,"drifloon","drifloon drifblim"
426,"drifblim","drifloon drifblim"
427,"buneary","buneary lopunny"
428,"lopunny","buneary lopunny"
429,"mismagius","misdreavus mismagius"
430,"honchkrow","murkrow honchkrow"
431,"glameow","glameow purugly"
432,"purugly","glameow purugly"
433,"chingling","chingling chimecho"
434,"stunky","stunky skuntank"
435,"skuntank","stunky skuntank"
436,"bronzor","bronzor bronzong"
437,"bronzong","bronzor bronzong"
438,"bonsly","bonsly sudowoodo"
439,"mime-jr","mime-jr mr-mime"
440,"happiny","happiny chansey blissey"
441,"chatot","chatot"
442,"spiritomb","spiritomb"
443,"gible","gible gabite garchomp"
444,"gabite","gible gabite garchomp"
445,"garchomp","gible gabite garchomp"
446,"munchlax","munchlax snorlax"
447,"riolu","riolu lucario"
448,"lucario","riolu lucario"
449,"hippopotas","hippopotas hippowdon"
450,"hippowdon","hippopotas hippowdon"
451,"skorupi","skorupi drapion"
452,"drapion","skorupi drapion"
453,"croagunk","croagunk toxicroak"
454,"toxicroak","croagunk toxicroak"
455,"carnivine","carnivine"
456,"finneon","finneon lumineon"
457,"lumineon","finneon lumineon"
458,"mantyke","mantyke mantine"
459,"snover","snover abomasnow"
460,"abomasnow","snover abomasnow"
461,"weavile","sneasel weavile"
462,"magnezone","magnemite magneton magnezone"
463,"lickilicky","lickitung lickilicky"
464,"rhyperior","rhyhorn rhydon rhyperior"
465,"tangrowth","tangela tangrowth"
466,"electivire","elekid electabuzz electivire"
467,"magmortar","magby magmar magmortar"
468,"togekiss","togepi togetic togekiss"
469,"yanmega","yanma yanmega"
470,"leafeon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
471,"glaceon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
472,"gliscor","gligar gliscor"
473,"mamoswine","swinub piloswine mamoswine"
474,"porygon-z","porygon porygon2 porygon-z"
475,"gallade","ralts kirlia gardevoir gallade"
476,"probopass","nosepass probopass"
477,"dusknoir","duskull dusclops dusknoir"
478,"froslass","snorunt glalie froslass"
479,"rotom","rotom"
480,"uxie","uxie"
481,"mesprit","mesprit"
482,"azelf","azelf"
483,"dialga","dialga"
484,"palkia","palkia"
485,"heatran","heatran"
486,"regigigas","regigigas"
487,"giratina-altered","giratina"
488,"cresselia","cresselia"
489,"phione","manaphy"
490,"manaphy","manaphy"
491,"darkrai","darkrai"
492,"shaymin-land","shaymin"
493,"arceus","arceus"
494,"victini","victini"
495,"snivy","snivy servine serperior"
496,"servine","snivy servine serperior"
497,"serperior","snivy servine serperior"
498,"tepig","tepig pignite emboar"
499,"pignite","tepig pignite emboar"
500,"emboar","tepig pignite emboar"
501,"oshawott","oshawott dewott samurott"
502,"dewott","oshawott dewott samurott"
503,"samurott","oshawott dewott samurott"
504,"patrat","patrat watchog"
505,"watchog","patrat watchog"
506,"lillipup","lillipup herdier stoutland"
507,"herdier","lillipup herdier stoutland"
508,"stoutland","lillipup herdier stoutland"
509,"purrloin","purrloin liepard"
510,"liepard","purrloin liepard"
511,"pansage","pansage simisage"
512,"simisage","pansage simisage"
513,"pansear","pansear simisear"
514,"simisear","pansear simisear"
515,"panpour","panpour simipour"
516,"simipour","panpour simipour"
517,"munna","munna musharna"
518,"musharna","munna musharna"
519,"pidove","pidove tranquill unfezant"
520,"tranquill","pidove tranquill unfezant"
521,"unfezant","pidove tranquill unfezant"
522,"blitzle","blitzle zebstrika"
523,"zebstrika","blitzle zebstrika"
524,"roggenrola","roggenrola boldore gigalith"
525,"boldore","roggenrola boldore gigalith"
526,"gigalith","roggenrola boldore gigalith"
527,"woobat","woobat swoobat"
528,"swoobat","woobat swoobat"
529,"drilbur","drilbur excadrill"
530,"excadrill","drilbur excadrill"
531,"audino","audino"
532,"timburr","timburr gurdurr conkeldurr"
533,"gurdurr","timburr gurdurr conkeldurr"
534,"conkeldurr","timburr gurdurr conkeldurr"
535,"tympole","tympole palpitoad seismitoad"
536,"palpitoad","tympole palpitoad seismitoad"
537,"seismitoad","tympole palpitoad seismitoad"
538,"throh","throh"
539,"sawk","sawk"
540,"sewaddle","sewaddle swadloon leavanny"
541,"swadloon","sewaddle swadloon leavanny"
542,"leavanny","sewaddle swadloon leavanny"
543,"venipede","venipede whirlipede scolipede"
544,"whirlipede","venipede whirlipede scolipede"
545,"scolipede","venipede whirlipede scolipede"
546,"cottonee","cottonee whimsicott"
547,"whimsicott","cottonee whimsicott"
548,"petilil","petilil lilligant"
549,"lilligant","petilil lilligant"
550,"basculin-red-striped","basculin"
551,"sandile","sandile krokorok krookodile"
552,"krokorok","sandile krokorok krookodile"
553,"krookodile","sandile krokorok krookodile"
554,"darumaka","darumaka darmanitan"
555,"darmanitan-standard","darumaka darmanitan"
556,"maractus","maractus"
557,"dwebble","dwebble crustle"
558,"crustle","dwebble crustle"
559,"scraggy","scraggy scrafty"
560,"scrafty","scraggy scrafty"
561,"sigilyph","sigilyph"
562,"yamask","yamask cofagrigus"
563,"cofagrigus","yamask cofagrigus"
564,"tirtouga","tirtouga carracosta"
565,"carracosta","tirtouga carracosta"
566,"archen","archen archeops"
567,"archeops","archen archeops"
568,"trubbish","trubbish garbodor"
569,"garbodor","trubbish garbodor"
570,"zorua","zorua zoroark"
571,"zoroark","zorua zoroark"
572,"minccino","minccino cinccino"
573,"cinccino","minccino cinccino"
574,"gothita","gothita gothorita gothitelle"
575,"gothorita","gothita gothorita gothitelle"
576,"gothitelle","gothita gothorita gothitelle"
577,"solosis","solosis duosion reuniclus"
578,"duosion","solosis duosion reuniclus"
579,"reuniclus","solosis duosion reuniclus"
580,"ducklett","ducklett swanna"
581,"swanna","ducklett swanna"
582,"vanillite","vanillite vanillish vanilluxe"
583,"vanillish","vanillite vanillish vanilluxe"
584,"vanilluxe","vanillite vanillish vanilluxe"
585,"deerling","deerling sawsbuck"
586,"sawsbuck","deerling sawsbuck"
587,"emolga","emolga"
588,"karrablast","karrablast escavalier"
589,"escavalier","karrablast escavalier"
590,"foongus","foongus amoonguss"
591,"amoonguss","foongus amoonguss"
592,"frillish","frillish jellicent"
593,"jellicent","frillish jellicent"
594,"alomomola","alomomola"
595,"joltik","joltik galvantula"
596,"galvantula","joltik galvantula"
597,"ferroseed","ferroseed ferrothorn"
598,"ferrothorn","ferroseed ferrothorn"
599,"klink","klink klang klinklang"
600,"klang","klink klang klinklang"
601,"klinklang","klink klang klinklang"
602,"tynamo","tynamo eelektrik eelektross"
603,"eelektrik","tynamo eelektrik eelektross"
604,"eelektross","tynamo eelektrik eelektross"
605,"elgyem","elgyem beheeyem"
606,"beheeyem","elgyem beheeyem"
607,"litwick","litwick lampent chandelure"
608,"lampent","litwick lampent chandelure"
609,"chandelure","litwick lampent chandelure"
610,"axew","axew fraxure haxorus"
611,"fraxure","axew fraxure haxorus"
612,"haxorus","axew fraxure haxorus"
613,"cubchoo","cubchoo beartic"
614,"beartic","cubchoo beartic"
615,"cryogonal","cryogonal"
616,"shelmet","shelmet accelgor"
617,"accelgor","shelmet accelgor"
618,"stunfisk","stunfisk"
619,"mienfoo","mienfoo mienshao"
620,"mienshao","mienfoo mienshao"
621,"druddigon","druddigon"
622,"golett","golett golurk"
623,"golurk","golett golurk"
624,"pawniard","pawniard bisharp"
625,"bisharp","pawniard bisharp"
626,"bouffalant","bouffalant"
627,"rufflet","rufflet braviary"
628,"braviary","rufflet braviary"
629,"vullaby","vullaby mandibuzz"
630,"mandibuzz","vullaby mandibuzz"
631,"heatmor","heatmor"
632,"durant","durant"
633,"deino","deino zweilous hydreigon"
634,"zweilous","deino zweilous hydreigon"
635,"hydreigon","deino zweilous hydreigon"
636,"larvesta","larvesta volcarona"
637,"volcarona","larvesta volcarona"
638,"cobalion","cobalion"
639,"terrakion","terrakion"
640,"virizion","virizion"
641,"tornadus-incarnate","tornadus"
642,"thundurus-incarnate","thundurus"
643,"reshiram","reshiram"
644,"zekrom","zekrom"
645,"landorus-incarnate","landorus"
646,"kyurem","kyurem"
647,"keldeo-ordinary","keldeo"
648,"meloetta-aria","meloetta"
649,"genesect","genesect"
650,"chespin","chespin quilladin chesnaught"
651,"quilladin","chespin quilladin chesnaught"
652,"chesnaught","chespin quilladin chesnaught"
653,"fennekin","fennekin braixen delphox"
654,"braixen","fennekin braixen delphox"
655,"delphox","fennekin braixen delphox"
656,"froakie","froakie frogadier greninja"
657,"frogadier","froakie frogadier greninja"
658,"greninja","froakie frogadier greninja"
659,"bunnelby","bunnelby diggersby"
660,"diggersby","bunnelby diggersby"
661,"fletchling","fletchling fletchinder talonflame"
662,"fletchinder","fletchling fletchinder talonflame"
663,"talonflame","fletchling fletchinder talonflame"
664,"scatterbug","scatterbug spewpa vivillon"
665,"spewpa","scatterbug spewpa vivillon"
666,"vivillon","scatterbug spewpa vivillon"
667,"litleo","litleo pyroar"
668,"pyroar","litleo pyroar"
669,"flabebe","flabebe floette florges"
670,"floette","flabebe floette florges"
671,"florges","flabebe floette florges"
672,"skiddo","skiddo gogoat"
673,"gogoat","skiddo gogoat"
674,"pancham","pancham pangoro"
675,"pangoro","pancham pangoro"
676,"furfrou","furfrou"
677,"espurr","espurr meowstic"
678,"meowstic-male","espurr meowstic"
679,"honedge","honedge doublade aegislash"
680,"doublade","honedge doublade aegislash"
681,"aegislash-shield","honedge doublade aegislash"
682,"spritzee","spritzee aromatisse"
683,"aromatisse","spritzee aromatisse"
684,"swirlix","swirlix slurpuff"
685,"slurpuff","swirlix slurpuff"
686,"inkay","inkay malamar"
687,"malamar","inkay malamar"
688,"binacle","binacle barbaracle"
689,"barbaracle","binacle barbaracle"
690,"skrelp","skrelp dragalge"
691,"dragalge","skrelp dragalge"
692,"clauncher","clauncher clawitzer"
693,"clawitzer","clauncher clawitzer"
694,"helioptile","helioptile heliolisk"
695,"heliolisk","helioptile heliolisk"
696,"tyrunt","tyrunt tyrantrum"
697,"tyrantrum","tyrunt tyrantrum"
698,"amaura","amaura aurorus"
699,"aurorus","amaura aurorus"
700,"sylveon","eevee vaporeon jolteon flareon espeon umbreon leafeon glaceon sylveon"
701,"hawlucha","hawlucha"
702,"dedenne","dedenne"
703,"carbink","carbink"
704,"goomy","goomy sliggoo goodra"
705,"sliggoo","goomy sliggoo goodra"
706,"goodra","goomy sliggoo goodra"
707,"klefki","klefki"
708,"phantump","phantump trevenant"
709,"trevenant","phantump trevenant"
710,"pumpkaboo-average","pumpkaboo gourgeist"
711,"gourgeist-average","pumpkaboo gourgeist"
712,"bergmite","bergmite avalugg"
713,"avalugg","bergmite avalugg"
714,"noibat","noibat noivern"
715,"noivern","noibat noivern"
716,"xerneas","xerneas"
717,"yveltal","yveltal"
718,"zygarde","zygarde"
719,"diancie","diancie"
720,"hoopa","hoopa"
721,"volcanion","volcanion"
